produto;id_deposito_1;qtd_1;id_deposito_2;qtd_2;id_deposito_3;qtd_3;id_deposito_4;qtd_4;id_deposito_5;qtd_5;id_deposito_6;qtd_6;id_deposito_7;qtd_7;id_deposito_8;qtd_8;id_deposito_9;qtd_9;id_deposito_10;qtd_10;id_deposito_11;qtd_11
89505;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89732;65;1;66;2;67;;69;;70;;71;2;72;1;73;;74;;75;1;68;1
89883;65;1;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89839;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89850;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89956;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89957;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89832;65;;66;2;67;;69;3;70;2;71;1;72;;73;2;74;;75;3;68;2
89534;65;;66;;67;;69;;70;1;71;;72;1;73;;74;;75;;68;1
89688;65;1;66;2;67;;69;;70;1;71;1;72;1;73;;74;1;75;1;68;
89838;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89896;65;;66;1;67;;69;;70;;71;1;72;;73;;74;;75;1;68;1
89774;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89881;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90046;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89711;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89828;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90035;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89901;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89501;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89502;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89445;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89484;65;;66;;67;;69;;70;;71;1;72;;73;;74;;75;;68;
89450;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89506;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89689;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89464;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89922;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89925;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89800;65;3;66;2;67;;69;2;70;3;71;4;72;;73;4;74;1;75;2;68;2
89709;65;1;66;1;67;;69;;70;;71;1;72;;73;;74;;75;;68;1
90077;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90102;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90128;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90163;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90078;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90103;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90129;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90164;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90079;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90104;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90130;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90165;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90080;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90105;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90131;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90166;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89226;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89387;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89414;65;;66;;67;;69;;70;;71;;72;;73;;74;1;75;;68;
89657;65;;66;;67;;69;;70;1;71;;72;;73;;74;;75;;68;
90020;65;;66;1;67;;69;1;70;;71;;72;;73;;74;;75;;68;
89851;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89460;65;2;66;4;67;;69;;70;;71;;72;;73;;74;1;75;2;68;
89472;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89994;65;;66;1;67;;69;;70;;71;1;72;;73;;74;;75;;68;1
90048;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90041;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90282;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90296;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90297;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90298;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90275;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90276;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90277;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90278;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90279;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90280;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90281;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89921;65;;66;;67;;69;;70;;71;;72;1;73;;74;;75;;68;
90304;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89944;65;;66;1;67;;69;;70;1;71;1;72;;73;;74;;75;;68;1
89404;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89803;65;2;66;3;67;;69;;70;;71;1;72;;73;;74;;75;;68;
90081;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90106;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90132;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90167;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90234;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90283;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90284;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90235;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90221;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90082;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90107;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90133;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90168;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90083;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90108;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90134;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90169;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90264;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90265;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90266;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90267;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90268;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90269;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90270;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90271;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90323;65;;66;;67;;69;;70;;71;3;72;;73;;74;;75;;68;
90324;65;;66;;67;;69;;70;;71;3;72;;73;;74;;75;;68;
89252;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89468;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89715;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89742;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89362;65;1;66;1;67;1;69;;70;1;71;2;72;;73;;74;;75;1;68;
89785;65;;66;;67;;69;;70;;71;1;72;;73;;74;;75;;68;1
90038;65;;66;;67;;69;;70;;71;2;72;;73;;74;;75;;68;
89190;65;;66;1;67;;69;;70;;71;;72;;73;;74;;75;;68;1
89351;65;;66;;67;;69;;70;;71;;72;;73;1;74;;75;1;68;1
89627;65;1;66;;67;;69;;70;;71;;72;;73;;74;1;75;1;68;1
89177;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89334;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89222;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89383;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89234;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89396;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89664;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89243;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89406;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89672;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89455;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89714;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89728;65;;66;;67;;69;;70;;71;1;72;;73;;74;;75;;68;
