id_produto;cod_ncm;Forma de Aquisicao;Origem da Mercadoria;Tipo de Tributacao;Regra de Tributos;Unidade Comercial
47007;62113200;Adquirida de Terceiros;Nacional;Valor da Operação;PADRAO;UN
47002;62113200;Adquirida de Terceiros;Nacional;Valor da Operação;PADRAO;UN
47003;62113200;Adquirida de Terceiros;Nacional;Valor da Operação;PADRAO;UN
47006;62113200;Adquirida de Terceiros;Nacional;Valor da Operação;PADRAO;UN
46935;61091000;Adquirida de Terceiros;Nacional;Valor da Operação;PADRAO;UN
46937;62034300;Adquirida de Terceiros;Nacional;Valor da Operação;PADRAO;UN
46938;62034300;Adquirida de Terceiros;Nacional;Valor da Operação;PADRAO;UN
46940;61091000;Adquirida de Terceiros;Nacional;Valor da Operação;PADRAO;UN
46939;61091000;Adquirida de Terceiros;Nacional;Valor da Operação;PADRAO;UN
19897;13021999;Adquirida de Terceiros;Nacional;Valor da Operação;PADRAO;UN
19898;21069030;Adquirida de Terceiros;Nacional;Valor da Operação;PADRAO;UN
19899;11029000;Adquirida de Terceiros;Nacional;Valor da Operação;PADRAO;UN
19896;21069030;Adquirida de Terceiros;Nacional;Valor da Operação;PADRAO;UN
2253;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
1829;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
1831;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
2252;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
1826;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
45897;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
1830;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
5232;;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
1832;04089100;Adquirida de Terceiros;Nacional;Valor da Operação;PADRAO;UN
